year,biome,country_of_production,product_type,forest_500_soy,zero_deforestation_paraguay_soy,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,land_use,soy_deforestation_5_year_total_exposure,department_trase_id,country_of_production_trase_id,country_of_destination_trase_id
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""NONE"",""ALTO PARANA"",""SAN ANTONIO"",""NIDERA PARAGUAY GRANOS Y OLEAGINOSAS S.A."",""COFCO"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""18558.54"",""8974625.937818052"",""6227.697986577181"",""43.612569"",""PY-10"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""3"",""COMPANY COMMITMENT"",""ITAPUA"",""NATALIO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""UNITED ARAB EMIRATES"",""UNITED ARAB EMIRATES"",""18547.92"",""10634744.828189813"",""6647.996217186309"",""23.1849"",""PY-07"",""PY"",""AE"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""3"",""COMPANY COMMITMENT"",""ITAPUA"",""NATALIO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""UNITED ARAB EMIRATES"",""UNITED ARAB EMIRATES"",""18547.92"",""10634744.828189813"",""6647.996217186309"",""23.1849"",""PY-07"",""PY"",""AE"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ALTO PARANA"",""SANTA FE DEL PARANA"",""AGRICOLA SANTA FE"",""AGRICOLA SANTA FE"",""BRAZIL"",""BRAZIL"",""18500"",""7571000"",""6208.053691275168"",""43.475"",""PY-10"",""PY"",""BR"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""CAAZAPA"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""CHILE"",""CHILE"",""17823.46"",""9017174.113150222"",""6601.281481481482"",""171.996389"",""PY-06"",""PY"",""CL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""CAAGUAZU"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""ALGERIA"",""ALGERIA"",""17822.53"",""7577557.468636562"",""6275.551159972771"",""157.7293905"",""PY-05"",""PY"",""DZ"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""NONE"",""ITAPUA"",""SAN JUAN DEL PARANA"",""CHS DE PARAGUAY SOCIEDAD DE RESPONSABILIDAD LIMITADA"",""CHS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""17697.72"",""8440594.036962016"",""6343.265207787315"",""22.12215"",""PY-07"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""4"",""NONE"",""SAN PEDRO"",""SAN ANTONIO"",""BUNGE PARAGUAY SA"",""BUNGE"",""ITALY"",""EUROPEAN UNION"",""17613.949999999997"",""8001222.190209497"",""6989.679580228723"",""915.9253999999999"",""PY-02"",""PY"",""IT"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""SAN PEDRO"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""THAILAND"",""THAILAND"",""17533.86"",""8824485.811762081"",""6957.897757435965"",""911.76072"",""PY-02"",""PY"",""TH"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""CANINDEYU"",""SALTOS DEL GUAIRA"",""AGROSER AGROINDUSTRIAL E COMERCIAL SERTANEJA LTDA"",""AGROSER AGROINDUSTRIAL E COMERCIAL SERTANEJA LTDA"",""BRAZIL"",""BRAZIL"",""17500"",""7565500"",""5892.252914732944"",""122.5"",""PY-14"",""PY"",""BR"""
